TeamID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,BALL,BALL,BALL,BALL
PlayerID,0,0,0,0,1,1,1,1,10,10,10,10,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,0,0,0,0,1,1,1,1,10,10,10,10,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,BALL,BALL,BALL,BALL
Attributes,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width,bb_height,bb_left,bb_top,bb_width
frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32.0,4270.0,538.0,16.0,35.0,3830.0,524.0,11.0,32.0,3526.0,523.0,17.0,52.0,3543.0,607.0,30.0,27.0,3720.0,504.0,12.0,24.0,3540.0,488.0,12.0,29.0,3560.0,506.0,10.0,88.0,3457.0,803.0,72.0,42.0,3536.0,555.0,13.0,48.0,3818.0,583.0,12.0,70.0,3746.0,666.0,24.0,38.0,3288.0,528.0,14.0,37.0,3312.0,512.0,16.0,37.0,2671.0,512.0,20.0,32.0,3184.0,495.0,16.0,47.0,2919.0,538.0,23.0,39.0,3529.0,556.0,23.0,58.0,2832.0,588.0,30.0,62.0,3060.0,592.0,35.0,34.0,3525.0,502.0,15.0,31.0,3336.0,497.0,15.0,37.0,3124.0,506.0,14.0,7.0,3542.0,549.0,6.0
2,32.0,4270.0,537.75,16.0,35.5,3828.5,523.5,11.0,32.0,3525.0,523.0,17.0,51.0,3542.0,609.0,32.0,28.000000000000057,3719.0,503.3333333333333,12.0,24.0,3539.5,488.0,12.0,29.000000000000057,3560.0,506.3333333333333,10.0,88.0,3455.0,802.0,72.0,42.0,3535.5,555.0,13.0,49.0,3818.0,583.0,12.0,70.0,3745.5,666.0,22.0,38.0,3287.0,529.0,14.0,37.0,3312.0,512.2,16.0,37.0,2670.5,512.0,20.0,32.0,3184.125,495.0,16.0,47.0,2919.1666666666665,538.1666666666666,23.0,39.0,3531.0,556.0,23.0,58.0,2832.0,588.3333333333334,30.0,62.0,3060.0,592.5,35.0,34.0,3526.0,503.0,16.0,31.0,3336.3333333333335,497.0,15.0,37.0,3125.0,506.0,14.0,7.0,3548.0,549.0,6.0
3,32.0,4270.0,537.5,16.0,36.0,3827.0,523.0,11.0,32.0,3524.5,523.0,17.0,50.0,3542.0,611.0,32.0,28.999999999999943,3718.0,502.6666666666667,12.0,24.0,3539.0,488.0,12.0,28.999999999999943,3560.0,506.6666666666667,10.0,88.0,3450.0,801.0,72.0,42.0,3535.0,555.0,13.0,50.0,3818.0,583.0,12.0,70.0,3745.0,666.0,20.0,38.0,3286.0,529.0,14.0,37.0,3312.0,512.4,16.0,37.0,2670.0,512.0,20.0,32.0,3184.25,495.0,16.0,47.0,2919.3333333333335,538.3333333333334,23.0,39.0,3532.0,555.0,23.0,58.0,2832.0,588.6666666666666,30.0,62.0,3060.0,593.0,35.0,34.0,3526.5,503.0,16.0,31.0,3336.6666666666665,497.0,15.0,37.0,3125.076923076923,506.0,14.0,7.0,3554.0,549.0,6.0
4,32.0,4270.0,537.25,16.0,37.0,3827.0,523.0,11.0,32.0,3524.0,523.0,17.0,49.0,3542.0,613.0,32.0,30.0,3717.0,502.0,12.0,23.0,3539.0,488.0,12.0,29.0,3560.0,507.0,10.0,88.0,3445.0,800.0,72.0,42.0,3535.0,556.0,13.0,50.5,3817.0,582.5,12.0,71.0,3743.0,666.0,20.0,38.0,3285.0,529.0,14.0,37.0,3312.0,512.6,16.0,36.75,2669.25,512.25,20.75,32.0,3184.375,495.0,16.0,47.0,2919.5,538.5,23.0,39.0,3534.0,555.0,23.0,58.0,2832.0,589.0,30.0,62.0,3060.0,593.5,35.0,34.0,3527.0,503.0,16.0,31.0,3337.0,497.0,15.0,37.0,3125.153846153846,506.0,14.0,7.0,3560.0,549.0,6.0
5,32.0,4270.0,537.0,16.0,36.0,3827.0,523.0,11.0,32.0,3523.5,523.0,17.0,46.0,3539.0,615.0,36.0,31.0,3717.0,501.0,12.0,23.0,3538.0,488.0,12.0,29.0,3559.75,507.0,10.0,88.0,3440.0,799.0,72.0,41.0,3535.0,556.0,13.0,51.0,3816.0,582.0,12.0,73.0,3742.0,664.0,20.0,38.0,3284.0,530.0,14.0,37.0,3312.0,512.8,16.0,36.5,2668.5,512.5,21.5,32.0,3184.5,495.0,16.0,47.0,2919.6666666666665,538.6666666666666,23.0,39.0,3535.0,555.0,23.0,58.0,2832.0,589.25,30.0,62.0,3060.0,594.0,35.0,34.0,3527.0,504.0,16.0,31.0,3337.1428571428573,497.0,15.0,37.0,3125.230769230769,506.0,14.0,7.0,3565.0,549.0,6.0
6,31.799999999999955,4270.0,537.2,16.0,36.25,3827.0,523.0,11.0,32.0,3523.0,523.0,17.0,45.0,3539.0,616.0,36.0,27.0,3720.0,504.0,12.0,23.0,3538.0,489.0,12.0,29.0,3559.5,507.0,10.0,88.0,3435.0,798.0,72.0,41.0,3534.5,556.0,13.5,49.0,3813.0,583.0,16.0,74.0,3739.0,664.0,20.0,38.0,3283.5,530.5,14.0,37.0,3312.0,513.0,16.0,36.25,2667.75,512.75,22.25,32.0,3184.625,495.0,16.0,47.0,2919.8333333333335,538.8333333333334,23.0,39.0,3536.0,554.0,23.0,58.0,2832.0,589.5,30.0,62.0,3059.0,594.0,35.0,34.0,3528.0,504.0,17.0,31.0,3337.285714285714,497.0,15.0,37.0,3125.3076923076924,506.0,14.0,7.0,3571.0,549.0,6.0
